,95% CI Lower,Correlation,95% CI Upper
B.cells.naive,-0.9310946929646049,-0.489170117233918,0.5346378617262089
B.cells.memory,-0.8235010642832709,-0.03599807805111454,0.7989028650462076
Plasma.cells,-0.8778668021962549,-0.2305819559799605,0.7147272181938935
T.cells.CD8,-0.9916097794334237,-0.9221533305808348,-0.43952699319156535
T.cells.CD4.naive,-0.8703007935663818,-0.2,0.730058763151231
T.cells.CD4.memory.resting,-0.9382730605765199,-0.531210758318898,0.49280275745481084
T.cells.CD4.memory.activated,,,
T.cells.follicular.helper,-0.165755398072438,0.746182898497395,0.9702106564339095
T.cells.regulatory..Tregs.,-0.8741937301013203,-0.21557388169082153,0.7223664250585055
T.cells.gamma.delta,,,
NK.cells.resting,-0.9015273198987015,-0.33524968367358976,0.6543421752873314
NK.cells.activated,0.04004983758294899,0.8248026404986744,0.9802237907181421
Monocytes,-0.7883390451393153,0.06446778161139134,0.8324743712457279
Macrophages.M0,-0.8532277441036004,-0.13547717385171107,0.7596007045041503
Macrophages.M1,-0.7534763260209918,0.14950781954419753,0.8570759908249632
Macrophages.M2,-0.735272432245098,0.18917027394868538,0.8675434462577456
Dendritic.cells.resting,,,
Dendritic.cells.activated,-0.882875640383741,-0.25155659507292294,0.7036592459890676
Mast.cells.resting,-0.9189208766274052,-0.4222775806781247,0.592250335853191
Mast.cells.activated,-0.7214822844378244,0.21733384945208561,0.874628400881872
Eosinophils,,,
Neutrophils,-0.9491086671228867,-0.5987085175269553,0.4140207388085417
T.cells.all,-0.9520045016970037,-0.6176314584955148,0.3888284263518034
B.cells.all,-0.8303688491201289,-0.05767339483877539,0.7909066606716992
Nk.cells.all,-0.9458973889747818,-0.5781719235044827,0.43971176464166645
Macrophages.all,-0.438364245853364,0.5792821196858914,0.9460728504785133
Dendritic.cells.all,-0.8355432278045122,-0.07449997451321781,0.7844927513174296
Mast.cells.all,-0.752724581136112,0.1512053311251109,0.8575362814442107
Leukocytes.all,-0.7625547229773373,0.128578844683603,0.8513066091880289
