,BRCA,KIRC,THCA,LUAD,PRAD,LUSC,LIHC,HNSC,COAD,STAD,KIRP,KICH,UCEC,BLCA,ESCA,CHOL,READ,PAAD,PCPG,CESC,SARC,THYM
B.cells.naive,0.1609571603787446,0.04169930156222767,0.1883973347996145,0.24809452752310304,-0.023374808236054676,-0.16686323609693465,-0.2954825977517086,-0.20273686570854782,-0.3247741160955436,-0.3245549430110325,-0.1771864670050681,-0.23313550330539168,-0.33319983574507456,-0.31059394021722847,-0.40519548964118135,-0.5176766132012977,-0.6550163674592083,-0.9544214370973676,-1.0,-1.0,-1,-1
B.cells.memory,-0.13601050397780468,-0.08420474826017808,-0.06138238558449111,-0.3185187004084763,-0.24963404973063172,-0.3140717592563372,-0.3749497673558029,-0.242524338880698,-0.3776684566744578,-0.5452036082830222,0.01444459260587585,-0.5647005286978599,-0.47842628128453574,-0.15089930044222072,0.3945123997300998,-0.6726821516993274,-0.6994163750480556,-0.9632206838304727,-1.0,,-1,-1
Plasma.cells,-0.07749275952522866,-0.1694002390903511,-0.06391254131104189,0.05867558025954598,-0.0934214840396636,0.05757282140043654,-0.15783859580987442,-0.2983827968939085,-0.2731760424565913,-0.24913502578219276,-0.3030354897215668,-0.2519528804128678,-0.2984257859380849,-0.5299871444938785,-0.42928022687751816,-0.727426122497997,-0.6765519332277026,-0.9297074911693111,-1.0,-1.0,-1,-1
T.cells.CD8,0.10096811633483119,-0.25632414561427236,-0.4252193957112417,-0.06792836515435378,0.03974917399611329,-0.22558554069067396,-0.2582107443570938,-0.2993167783911061,0.11008158709853745,-0.0673465389742923,-0.38738617211903104,-0.5567238865840438,-0.16721863672538503,0.050364841232146906,-0.29038202885251585,-0.6950457094597952,-0.8551557039339619,-0.9220565600296409,-1.0,-1.0,-1,-1
T.cells.CD4.naive,,,-0.279872261354377,,,-0.3060372843521626,,,,,,,,,,,,,,,-1,-1
T.cells.CD4.memory.resting,0.008244761445869709,-0.013532961118785046,0.1356841226334318,0.016030025208112947,0.05840175305996781,-0.287343716860572,0.030909674198656426,-0.14020678660665292,-0.13121269388120382,0.07132220614562898,-0.37197513145669764,-0.373992443865722,-0.12171157019516606,0.02818657506211647,0.03716288615772849,-0.842898234724912,-0.6667281833252134,-0.9630571428977546,-1.0,-1.0,-1,-1
T.cells.CD4.memory.activated,-0.17633467713100606,-0.2545645054984351,-0.2858908889403332,0.3258238451786028,,-0.26319429207220213,-0.24925142440094364,-0.38233723864974223,-0.39699326121456735,-0.39481201779275066,,,,0.417944018272062,-0.6754695174384695,,,,,,-1,-1
T.cells.follicular.helper,0.07891279039651886,-0.024443384621669645,0.14462992850014925,-0.1452785352123241,-0.05233026137651644,-0.18573203764217824,-0.25234958038766275,-0.31421392701227757,-0.07741354575790944,-0.13818462521170566,0.31051049217004767,-0.4253550122215313,-0.322431741450932,-0.40382885453276934,-0.2479212299694801,-0.34362416053820655,-0.6274658952280795,-0.5545613681076574,-1.0,-1.0,-1,-1
T.cells.regulatory..Tregs.,-0.11820932609079082,-0.04731113002483879,-0.11882808700478141,-0.2928233789312207,0.11236215857258301,-0.15154029595235854,-0.0939927939380179,0.14646443371644832,-0.0099459031902514,-0.21377158864737608,-0.0948701439559917,-0.243095516721818,-0.35800942199252117,-0.16006638844690146,0.12824366076898552,-0.7676033704264362,-0.7018306748217853,-0.8723230721759616,,-1.0,-1,-1
T.cells.gamma.delta,-0.175178575680565,-0.1654079984501653,-0.29608595655230047,,,,-0.29565995018323143,-0.3325281445145279,-0.33603414118032887,,,-0.46050515143761844,-0.473820956230192,,,,,,,,-1,-1
