,BRCA,KIRC,THCA,LUAD,PRAD,LUSC,LIHC,HNSC,COAD,STAD,KIRP,KICH,UCEC,BLCA,ESCA,CHOL,READ,PAAD,PCPG,CESC,SARC,THYM
B.cells.naive,0.000277983521782919,0.02142849031497984,0.0008177805164996142,0.0001595860160303536,0.07252893639537865,0.4258771274734565,0.89760127405961,0.507158472757527,0.9060202114541335,0.9316108568266452,0.31662797488299776,0.393456625071567,0.6777121347508914,0.493858154617308,0.5391837159870936,0.5638080094069798,0.967175963574115,0.9194171197187813,0.6538823310979586,0.6469592685687335,1.0,
B.cells.memory,0.5991224017709972,0.2073020822477762,0.13315515416611806,0.624551910954575,0.8605363396441288,0.7690829009222367,0.4559294284913036,0.6911668697305074,0.6224637390857173,0.14744866898947215,0.04217084655949203,0.2945477607146663,0.7082588265923421,0.1736888782097024,0.0017913741424610964,0.9684853362850756,0.8662154900136646,0.9712689025051882,0.5100505271500319,,,1.0
Plasma.cells,0.25136058602100714,0.5885826860508144,0.13810963069352147,0.017024825954042335,0.19120307903760883,0.018804856836753637,0.3830835241349035,0.9890619765506798,0.8152739829884975,0.5843869260739797,0.7814034118629128,0.44774104198611536,0.5551946093636121,0.6843645153101493,0.6029284109094025,0.7536050874444741,0.9540357956258015,0.7052733143164887,0.7228227936455764,0.8383145091327469,1.0,1.0
T.cells.CD8,0.002622065530547056,0.8269911467042735,0.14990888930305057,0.14500164678124658,0.025670755593529878,0.7102258827178206,0.8811169048763897,0.9942694573087796,0.008795024072563537,0.11256929276139478,0.8079182142511461,0.32040407684021166,0.22512032165962265,0.0318584112688831,0.3022499188804957,0.8833128943916453,0.23341830220869852,0.6570956462919797,0.8184852689768957,0.260361080248655,1.0,1.0
T.cells.CD4.naive,,,0.8472236750927412,,,0.8167789943321841,,,,,,,,,,,,,,,,1.0
T.cells.CD4.memory.resting,0.04088875672560711,0.0647881976606869,0.003107743803453913,0.037991250072431565,0.018309145582735577,0.9291229691690518,0.030330115713330382,0.2839391927173127,0.24985098756937474,0.019131973934464853,0.8844494746109904,0.9063150570231701,0.155838682076855,0.03924893350615696,0.039234405169464366,0.278109455407322,0.9904708126404524,0.9735271774576265,0.8456965811974866,0.4272757205448804,1.0,
T.cells.CD4.memory.activated,0.9273157621365294,0.8392359666707,0.8089135084565655,1.282890215219354e-05,,0.925874721008662,0.8293455774089369,0.5546600589338537,0.5266300346946109,0.7133720016573011,,,,0.000356707829887403,0.5161025615094817,,,,,,,1.0
T.cells.follicular.helper,0.0054443534669463296,0.07895633994430297,0.002504042901085369,0.3800271772115831,0.11078688196217051,0.5086081537150865,0.8471473462202928,0.9223482724721376,0.13766746153745638,0.23373466963599698,0.0003302687104438872,0.8631172298967156,0.6382893085943957,0.8018818380168092,0.23960856831693383,0.2663627813060145,0.8723966493323105,0.12952924306959446,0.02039271256231528,0.41313791456032467,1.0,1.0
T.cells.regulatory..Tregs.,0.47417662867590504,0.1169386436644104,0.2848492078830737,0.7807245862159581,0.006338959814061541,0.36527837402745245,0.18794158726089277,0.004197424970606411,0.05789614065170195,0.44962771781581873,0.1466451948219316,0.42159912728373755,0.7732076423548446,0.1857424582097304,0.019862267140905502,0.5856147766844345,0.8567117697830648,0.4507910426316345,,0.38250007450656187,1.0,1.0
T.cells.gamma.delta,0.9173578007677481,0.5652271061423799,0.7447856012175574,,,,0.8965416159800197,0.8199364729965014,0.8442343256102138,,,0.7041459573370213,0.7283888137291397,,,,,,,,,
NK.cells.resting,0.4370713656898793,0.7785775425346254,0.1671619354401552,0.02854271685231025,0.49225190057657703,0.2375644424933492,0.22864181026258756,0.9542194409962198,0.01735551181483285,0.020853589588667235,0.4938362333121419,0.4507666998685059,0.9705327701100086,0.2512048059364404,0.4571701494022744,0.6776068981359404,0.42047369847718563,0.40270838697843503,0.45976388778396515,,,1.0
NK.cells.activated,0.26423983863194145,0.24194258203884111,0.12873058216479152,0.8865452895505784,0.7026110823526235,0.6413971179409971,0.19091207664022702,0.5069287740540964,0.6578677982834854,0.054482477382357716,0.38571535329433115,0.4360833459065955,0.2813625440917423,0.44010385161514276,0.00012074723556154451,0.7312951335454965,0.3757634547745822,0.7873651190865736,0.40467720227611215,0.0882292236949492,1.0,
