,BRCA,KIRC,THCA,LUAD,PRAD,LUSC,LIHC,HNSC,COAD,STAD,KIRP,KICH,UCEC,BLCA,ESCA,CHOL,READ,PAAD,PCPG,CESC,SARC,THYM
B.cells.naive,0.4900450522538641,0.472766646781752,0.61348929949075,0.6538212773415424,0.4904180650879196,0.37768314578083817,0.2610338130358079,0.3920414381968704,0.2903251461214221,0.3516364374887665,0.49964722800010625,0.5357880313622788,0.48545686058639975,0.5775505106770653,0.6694471414943911,0.7727600995771972,0.6730342043600557,0.9667944715771639,1.0,1.0,1,1
B.cells.memory,0.23255783106015368,0.3692023590335513,0.4320079643396129,0.19599611309129586,0.29585168164622994,0.23619125646213593,0.1757657107266853,0.3560372800033991,0.23413407390255314,0.09224628102027928,0.6305676644671139,0.1935509470466478,0.3413158372347145,0.6793583329764813,0.9297744458657189,0.6553835062201749,0.6255957732179291,0.9588323045946698,1.0,,1,1
Plasma.cells,0.2877413973399309,0.2920946346676037,0.42993963877124225,0.5279553146724594,0.4352008999113876,0.5535112797321311,0.3906873749022724,0.30230238897856315,0.34133561223951187,0.42152859173723695,0.39275526757059165,0.52138102787168,0.5144274048210161,0.371234967381029,0.6530372464842302,0.5896079214158113,0.6513131355544692,0.9786136209338356,1.0,1.0,1,1
T.cells.CD8,0.4422816822645381,0.20671169513031695,0.06966307275497421,0.43051595075469484,0.5368786512003786,0.3241339248353085,0.2982429332187977,0.3013702473335034,0.6330117861137018,0.5625740792324385,0.3087755354498598,0.20472418670685327,0.6092442507370087,0.7740645014706207,0.7355008496177206,0.6307449739660448,0.3142657314645479,0.9807684568865083,1.0,1.0,1,1
T.cells.CD4.naive,,,0.23197798294303593,,,0.2445666469127701,,,,,,,,,,,,,,,1,1
T.cells.CD4.memory.resting,0.36443911709358495,0.42875485522853274,0.5785952968872878,0.49645785656952585,0.5500534846813606,0.2637405520244757,0.538967886841538,0.44516862829332243,0.46519655519412245,0.6501066240170033,0.3249743915974709,0.415859028653951,0.6376506445256377,0.7650065566282764,0.8556219702619627,0.353294749999473,0.6614989876579244,0.9590141578164261,1.0,1.0,1,1
T.cells.CD4.memory.activated,0.1930980970310765,0.20851303005163543,0.22577855012325068,0.699699686406858,,0.2878821660243941,0.3069419512958842,0.21365765475837417,0.21253206163068697,0.2789581438635669,,,,0.8906746372446637,0.39596576562275815,,,,,,1,1
T.cells.follicular.helper,0.4242205816965803,0.4198052771497485,0.5846335331415239,0.3646591982024392,0.4680821873431749,0.3608647893307039,0.3039442835745092,0.28634560347749566,0.5067354814854853,0.5116523011214602,0.7814260841881636,0.3640264028768745,0.4946242220113564,0.5018430289363782,0.7558202486951786,0.8460556653761307,0.6978403848224769,0.9972555996510784,1.0,1.0,1,1
T.cells.regulatory..Tregs.,0.24959970962233075,0.4007628335045614,0.3837332580229341,0.22309543096957088,0.5868372893278142,0.3910816124515691,0.44424658940874634,0.645368647116177,0.5552572117944053,0.4517681549449563,0.5599470426004931,0.5282177916955425,0.4636271556099317,0.6742674407494245,0.878359899468927,0.5268947244019441,0.6227010456868204,0.9885186787996314,,1.0,1,1
T.cells.gamma.delta,0.1942463028896338,0.2958470271348084,0.21518179701103293,,,,0.26085271568185325,0.26746082756442613,0.27870844738516076,,,0.3254933568258402,0.3465667181041569,,,,,,,,1,1
NK.cells.resting,0.25507991618075304,0.2633288961066874,0.4187696507663294,0.5082137366602318,0.1803190623270962,0.42427343873334084,0.11032688362517641,0.30852840467614806,0.6081868835042031,0.6466253918230728,0.23344021105687113,0.2529556129468725,0.40540799780901515,0.6493970350398053,0.6911225087346238,0.5628399376304055,0.8069405139140773,0.9900444295648173,1.0,,1,1
NK.cells.activated,0.28505928800818126,0.3596998580405935,0.43390250619926696,0.24033497354838035,0.3223551489667744,0.3361952567228611,0.09527062867369919,0.2026826651798085,0.24167088082478835,0.6030695725064377,0.4807699556368983,0.5244082406279963,0.19666332423519509,0.2907756660980732,0.9598372594846396,0.7328446193372199,0.42181120414676504,0.9745602164970247,1.0,1.0,1,1
Monocytes,0.14546341788817096,0.18600167856980762,0.3506859469665518,0.41788280386484494,0.49787342616724756,0.38217066797809746,0.4553889829411946,0.5352746558571732,0.2147626499477472,0.3550417649959649,0.41967012352246436,0.35817229093517594,0.39105747445979333,0.49072864696832247,0.7396896031472264,0.950845067117984,0.13113818523985735,0.9858894216839368,1.0,1.0,1,1
Macrophages.M0,0.20025150193342883,0.246087963683395,0.23138564619075486,0.4182521651605008,0.23071285844321834,0.3315016915199979,0.2672936377063604,0.351168872413228,0.31546954589705906,0.7054360123012967,0.16960778748554975,0.25884870630625556,0.45713189416797045,0.4486541570579021,0.6526608243593515,0.5244062370640782,,0.8284652491295288,,,1,1
Macrophages.M1,0.4055043789678464,0.2502073288909613,0.4024247368359181,0.4683530111258739,0.5128270033718609,0.5098652872408488,0.44497000760150135,0.4803568328179379,0.362924022067367,0.675447535327797,0.3700623593462576,0.41471531777482556,0.3434992979419012,0.4934782921076288,0.2035987878739087,0.4535511843069021,0.6363012207593688,0.9546196703363444,,1.0,1,1
Macrophages.M2,0.5150465061571005,0.16149200716115045,0.26242237741997826,0.350979985344281,0.2410540026728626,0.3226358558930825,0.4369591723321417,0.36555963669332103,0.35314804059860455,0.514362048659131,0.3132702764211268,0.4720524642650258,0.6101255250145708,0.22098527204475968,0.4258346098833263,0.6525737527939611,0.7607133713413465,0.9920380141359466,1.0,1.0,1,1
Dendritic.cells.resting,0.20121709152116204,0.3746984598930394,0.3146886419482056,0.1313795867906351,0.2603423423316099,0.1430997604894265,0.660954688920713,0.32122966284180116,0.4491134140252184,0.3279668233361377,0.3286316392901614,0.8851048705124196,0.31294895070227974,0.4495418755055772,0.41345429029135,0.9572242465833872,0.778628016069299,0.9627448299301519,,1.0,1,1
Dendritic.cells.activated,0.08167192376049771,0.3293101990754395,0.20823432366351946,0.2135326202669854,0.5871276521779297,0.3100039604492017,0.9407234333782454,0.5561504862456659,0.3274588613314143,0.48253740939821055,0.2945660534917844,0.4467420137515524,0.6527299209827191,0.49589185270169933,0.6377276476710869,,0.8039674225766695,0.9997844813983362,1.0,1.0,1,1
Mast.cells.resting,0.28941225737932763,0.31142480700435504,0.31701426163144275,0.49658402571224575,0.6562561537924623,0.3686505779683319,0.19522534505486372,0.27861270961127743,0.2597820604833984,0.6398831768165714,0.6970469688604585,0.23433826476118033,0.42641824284378704,0.4476397478966301,0.5035093790274343,0.6433728508164805,0.9084545878999951,0.9512540012600278,1.0,1.0,1,1
Mast.cells.activated,0.24117111881038866,0.17294712586924685,0.4304367070093309,0.612329059632989,0.5105969861697975,0.24352829571397863,0.30631875321686414,0.2638096909753874,0.3865090741158119,0.4018875172441001,0.47046277045387247,0.38931482529806255,0.8006938969337035,0.6124416681644269,0.8367945978733645,0.8905755988776328,0.693624745652289,,1.0,1.0,1,1
Eosinophils,0.14510665989556198,0.1799420678577694,0.27978580226950733,0.2034037291137116,0.24200696485106046,0.8050214027010303,,0.5928685552518189,0.36954829378715176,0.5307581508731641,0.317240264291358,0.34070452132458884,0.35176649579847785,0.33888004478318573,0.4482356145480187,,0.7043382847139386,,,,1,1
Neutrophils,0.22208685046387552,0.32870812550245176,0.6790139617215148,0.4830463390714318,0.5065492003070781,0.3339221533164032,0.22808438502926154,0.23806553166924915,0.19447960930256347,0.5717579448543549,0.3321704729074716,0.44659414442912737,0.6477833021376055,0.6215070561068249,0.39851770618625404,0.6700776063340738,0.771562395814149,0.9955101110538046,1.0,,1,1
T.cells.all,0.46887397486539983,0.25034838887210564,0.2439650655315316,0.4903396733672601,0.47204145923695257,0.2676050722680021,0.3953311661347729,0.19142323437340272,0.2564374229955692,0.4787721792365686,0.47227800890951405,0.16229576014529423,0.5837306319679927,0.810185973549951,0.8086100073551901,0.8114210357137663,0.4105688070896584,0.14744975399469107,1.0,1.0,1,1
B.cells.all,0.44803704691244145,0.41618552218444255,0.4098887118632492,0.44532679344224135,0.4972300544179078,0.29919743493218237,0.13322896756883057,0.3526481750397748,0.1775312906330978,0.3205938824654632,0.49254988739016026,0.8919018700247456,0.5414346336796906,0.5852140183436533,0.7226478798650828,0.7071450544526925,0.5458980263608295,0.9490989436318682,1.0,1.0,1,1
Nk.cells.all,0.2687360003440091,0.31956365846897583,0.40799823132886753,0.3909617610702193,0.3891062868391842,0.5344141545776587,0.3410020615676443,0.45560917224596686,0.3459331374903348,0.4678688923487811,0.5523884432719691,0.33151229216069744,0.2427185008294554,0.5623690011622701,0.6668064392056221,0.6445137541942154,0.41498051897007004,0.98928692509105,1.0,1.0,1,1
Macrophages.all,0.4722880969685543,0.19701714986743388,0.3486668012213979,0.23360743124872926,0.34391673631746356,0.4597217586370701,0.4072978487952146,0.23987926109199165,0.26604140291941364,0.47969512098842343,0.3278363003962693,0.5169554428533326,0.5095321752573343,0.40828900117762124,0.3383343855719263,0.6256413895975845,0.6551210990179883,0.7215529982698122,1.0,1.0,1,1
Dendritic.cells.all,0.1737929098542692,0.3553607838894996,0.2939944452689945,0.2678563496402403,0.30897977132092047,0.2967957097156939,0.6656827136225728,0.5567295024066499,0.4584325265703593,0.49776829155641544,0.3398061625005218,0.3829837878381924,0.6127437073909027,0.5376354986587547,0.6246553155866988,0.9527351390054523,0.6696940044872639,0.954941962699769,1.0,1.0,1,1
Mast.cells.all,0.31106081317024853,0.259683179677884,0.307983263835621,0.3129194001037557,0.6369555329101414,0.3093972186865711,0.20361575588799427,0.14831954668015762,0.41563761279465267,0.3949597010095963,0.6622385796016769,0.21141472463716218,0.24071534823998939,0.2687735205059356,0.23490887500781282,0.5768356303033119,0.36119288179557074,0.9648513285479546,1.0,1.0,1,1
Leukocytes.all,0.18597213262905998,0.2854168397659599,0.2745686896992688,0.2886291161217995,0.09455317289284483,0.20310506888761956,0.2975796837442076,0.2933853429974726,0.37177102121416616,0.18871867205278584,0.272536508870884,0.4062050256955933,0.512913053838096,0.4882871751992535,0.817438747753997,0.8594299126413072,0.49462430917342864,0.9864127106106243,1.0,1.0,1,1
