,95% CI Lower,Correlation,95% CI Upper
B.cells.naive,-0.8917986691703317,-0.2904513233916285,0.6818303574296154
B.cells.memory,-0.9291760329709611,-0.47827068813839596,0.5447223923512393
Plasma.cells,-0.8791449231245423,-0.23587756310272798,0.7119767889805432
T.cells.CD8,-0.4171455730929008,0.5962797828844902,0.9487326503658435
T.cells.CD4.naive,,,
T.cells.CD4.memory.resting,-0.5910271060224364,0.42382275449471557,0.9192131804210004
T.cells.CD4.memory.activated,,,
T.cells.follicular.helper,-0.835801789006557,-0.0753523148006427,0.7841628935573111
T.cells.regulatory..Tregs.,-0.3704627203524768,0.6307293570323967,0.9539744596902959
T.cells.gamma.delta,,,
NK.cells.resting,,,
NK.cells.activated,-0.8368180298124845,-0.07871312762392217,0.7828575001622887
Monocytes,-0.8567921870553299,-0.1484632506298371,0.7539377440690374
Macrophages.M0,-0.2737889980155467,0.6913986817490433,0.9627493587703192
Macrophages.M1,-0.4940209756042157,0.530053915128637,0.9380801142150882
Macrophages.M2,-0.9365392822073981,-0.5208697666475389,0.5035517784977251
Dendritic.cells.resting,-0.8935766269062052,-0.2984462062075084,0.6771180688826821
Dendritic.cells.activated,-0.8196772365582983,-0.02424253833499933,0.8031195596682656
Mast.cells.resting,-0.8693687470897447,-0.19632088853810037,0.7318421952085219
Mast.cells.activated,-0.17785399473780708,0.7406059074652032,0.9694700475347608
Eosinophils,-0.8703007935663818,-0.19999999999999998,0.730058763151231
Neutrophils,-0.47444848410799345,0.5481901216676489,0.9410761489552844
T.cells.all,-0.4806221668040911,0.5425714674290255,0.9401545144357588
B.cells.all,-0.9320812758439292,-0.4948289035186568,0.5292845831755609
Nk.cells.all,-0.8184791555133182,-0.020604004108919313,0.8044081138209452
Macrophages.all,-0.867524965353014,-0.18909824107192333,0.7353067480268949
Dendritic.cells.all,-0.8352732487853758,-0.07361118078876835,0.7848361997298721
Mast.cells.all,-0.754798220943243,0.14650988918054028,0.8562603152065714
Leukocytes.all,-0.9509083653566776,-0.6104228857018505,0.3986060840121345
