,95% CI Lower,Correlation,95% CI Upper
B.cells.naive,-1.0,0.7470071303293061,1.0
B.cells.memory,-1.0,-0.03908684898137841,1.0
Plasma.cells,-1.0,0.9345868093548979,1.0
T.cells.CD8,-1.0,0.9999000880131458,1.0
T.cells.CD4.naive,,,
T.cells.CD4.memory.resting,-1.0,0.9513307784291081,1.0
T.cells.CD4.memory.activated,,,
T.cells.follicular.helper,-1.0,0.996764216047847,1.0
T.cells.regulatory..Tregs.,-1.0,0.9992609948804493,1.0
T.cells.gamma.delta,,,
NK.cells.resting,,,
NK.cells.activated,-1.0,0.9988549384171708,1.0
Monocytes,-1.0,0.14509762065206458,1.0
Macrophages.M0,,1.0,1.0
Macrophages.M1,-1.0,0.9969647086348292,1.0
Macrophages.M2,-1.0,0.9793109521012762,1.0
Dendritic.cells.resting,-1.0,0.9999999999999998,1.0
Dendritic.cells.activated,-1.0,0.25050974114607477,1.0
Mast.cells.resting,-1.0,-0.9970020606976201,1.0
Mast.cells.activated,,,
Eosinophils,,,
Neutrophils,,,
T.cells.all,-1.0,0.9975894011522523,1.0
B.cells.all,-1.0,0.8052801032996493,1.0
Nk.cells.all,-1.0,0.9826905753234345,1.0
Macrophages.all,-1.0,0.9902165882580328,1.0
Dendritic.cells.all,-1.0,0.9996712776935259,1.0
Mast.cells.all,-1.0,-0.9970020606976201,1.0
Leukocytes.all,-1.0,0.9986179243687298,1.0
